country_name,continent_name,polyarchy,pop,gdppc
Comoros,Africa,0.528,689692,1432.56
Croatia,Europe,0.838,4295427,19511.35
Cuba,North America,0.172,11225832,6578.19
Cyprus,Europe,0.864,1112612,27630.1
Cyprus,Asia,0.864,1112612,27630.1
Czech Republic,Europe,0.887,10474410,25922.39
Denmark,Europe,0.916,5547683,42932.4
Equatorial Guinea,Africa,0.183,943639,42037.9
Estonia,Europe,0.88,1331475,20713.43
Fiji,Oceania,0.141,859818,NA
Finland,Europe,0.887,5363352,37615.11
Greece,Europe,0.905,11121341,26517.47
Guyana,South America,0.586,749436,NA
Hong Kong,Asia,0.375,7024200,43170.55
Iceland,Europe,0.884,318041,36272.69
Israel,Asia,0.752,7623600,28575.53
Kuwait,Asia,0.317,2991884,68865.31
Lithuania,Europe,0.853,3097282,18663.76
Luxembourg,Europe,0.873,506953,54086.34
North Macedonia,Europe,0.547,2070741,11038.29
Malaysia,Asia,0.317,28208035,18574.3
Malta,Europe,0.824,414508,23632.62
Mauritius,Africa,0.826,1250400,16269.32
Montenegro,Europe,0.502,619428,14509.77
New Zealand,Oceania,0.901,4350700,31586.09
Norway,Europe,0.902,4889252,78476.15
Oman,Asia,0.159,3041434,46182.16
Paraguay,South America,0.646,6248020,7139.03
Romania,Europe,0.681,20246871,16377.33
Sao Tome and Principe,Africa,0.68,180371,3093.35
Saudi Arabia,Asia,0.019,27421461,42737.65
Serbia,Europe,0.628,7291436,11963.56
Seychelles,Africa,0.443,89770,20147.18
Singapore,Asia,0.388,5076732,58612.73
Slovakia,Europe,0.854,5391428,21941.21
Slovenia,Europe,0.87,2048583,26000.92
Solomon Islands,Oceania,0.556,527861,NA
Vanuatu,Oceania,0.707,236211,NA
United Arab Emirates,Asia,0.063,8549988,60112.4
Hungary,Europe,0.81,10000023,20036.33
