PDBid,date,President,Total_Pgs,maps,Redaction_total
9101974,10/9/74,4,10,0,9
10101974,10/10/74,4,10,0,6
11101974,10/11/74,4,16,1,12
12101974,10/12/74,4,18,1,12
14101974,10/14/74,4,8,0,3
15101974,10/15/74,4,10,0,4
16101974,10/16/74,4,12,0,7
17101974,10/17/74,4,10,1,4
18101974,10/18/74,4,19,1,13
19101974,10/19/74,4,9,0,5
21101974,10/21/74,4,9,0,5
22101974,10/22/74,4,14,2,12
23101974,10/23/74,4,12,0,7
24101974,10/24/74,4,13,0,10
25101974,10/25/74,4,14,0,8
26101974,10/26/74,4,9,0,6
28101974,10/28/74,4,9,0,5
29101974,10/29/74,4,9,1,4
30101974,10/30/74,4,16,0,10
31101974,10/31/74,4,13,0,10
1111974,11/1/74,4,10,0,5
2111974,11/2/74,4,11,0,4
4111974,11/4/74,4,11,0,7
5111974,11/5/74,4,12,0,2
6111974,11/6/74,4,12,1,10
7111974,11/7/74,4,15,0,10
8111974,11/8/74,4,15,0,16
9111974,11/9/74,4,16,0,11
11111974,11/11/74,4,16,1,12
12111974,11/12/74,4,12,0,4
13111974,11/13/74,4,11,0,3
14111974,11/14/74,4,16,0,3
15111974,11/15/74,4,18,0,11
16111974,11/16/74,4,10,0,6
18111974,11/18/74,4,10,0,2
19111974,11/19/74,4,12,0,7
20111974,11/20/74,4,12,0,7
21111974,11/21/74,4,14,0,17
22111974,11/22/74,4,8,0,3
23111974,11/23/74,4,9,0,2
25111974,11/25/74,4,10,0,1
26111974,11/26/74,4,14,0,8
27111974,11/27/74,4,9,0,9
29111974,11/29/74,4,9,0,10
30111974,11/30/74,4,14,1,15
2121974,12/2/74,4,10,0,7
3121974,12/3/74,4,13,0,8
4121974,12/4/74,4,15,0,6
5121974,12/5/74,4,19,1,15
6121974,12/6/74,4,11,0,10
7121974,12/7/74,4,15,0,10
9121974,12/9/74,4,9,1,0
10121974,12/10/74,4,11,0,4
11121974,12/11/74,4,10,0,6
12121974,12/12/74,4,12,0,9
14121974,12/14/74,4,16,1,11
16121974,12/16/74,4,10,1,2
17121974,12/17/74,4,13,2,4
18121974,12/18/74,4,10,0,3
19121974,12/19/74,4,13,1,6
20121974,12/20/74,4,16,0,9
21121974,12/21/74,4,11,0,0
23121974,12/23/74,4,10,1,2
24121974,12/24/74,4,11,0,7
26121974,12/26/74,4,12,0,8
27121974,12/27/74,4,12,0,10
28121974,12/28/74,4,8,0,6
30121974,12/30/74,4,9,0,2
31121974,12/31/74,4,6,0,0
2011975,1/2/75,4,15,2,6
3011975,1/3/75,4,14,1,6
4011975,1/4/75,4,16,2,5
6011975,1/6/75,4,11,1,5
7011975,1/7/75,4,11,1,8
8011975,1/8/75,4,17,1,5
9011975,1/9/75,4,16,2,5
10011975,1/10/75,4,13,0,9
11011975,1/11/75,4,12,1,7
13011975,1/13/75,4,13,1,1
14011975,1/14/75,4,12,1,15
15011975,1/15/75,4,16,0,10
16011975,1/16/75,4,19,1,8
17011975,1/17/75,4,13,1,4
18011975,1/18/75,4,14,2,5
20011975,1/20/75,4,13,1,4
23011975,1/23/75,4,10,0,2
24011975,1/24/75,4,10,0,4
25011975,1/25/75,4,11,2,2
27011975,1/27/75,4,11,1,5
28011975,1/28/75,4,12,0,4
29011975,1/29/75,4,11,0,5
30011975,1/30/75,4,13,0,2
31011975,1/31/75,4,12,0,9
1021975,2/1/75,4,10,0,1
3021975,2/3/75,4,9,0,2
4021975,2/4/75,4,12,0,3
5021975,2/5/75,4,17,2,6
6021975,2/6/75,4,12,0,4
7021975,2/7/75,4,9,0,5
8021975,2/8/75,4,12,0,8
10021975,2/10/75,4,9,1,3
11021975,2/11/75,4,11,1,5
12021975,2/12/75,4,15,0,7
13021975,2/13/75,4,16,1,9
14021975,2/14/75,4,14,0,2
15021975,2/15/75,4,10,0,6
17021975,2/17/75,4,7,0,6
18021975,2/18/75,4,8,1,0
19021975,2/19/75,4,9,0,2
20021975,2/20/75,4,10,1,6
21021975,2/21/75,4,17,1,5
22021975,2/22/75,4,16,2,5
24021975,2/24/75,4,13,2,2
25021975,2/25/75,4,14,1,4
26021975,2/26/75,4,19,1,7
27021975,2/27/75,4,11,0,4
28021975,2/28/75,4,10,0,3
1031975,3/1/75,4,11,1,9
3031975,3/3/75,4,10,1,6
4031975,3/4/75,4,10,0,5
5031975,3/5/75,4,10,1,5
6031975,3/6/75,4,13,2,3
7031975,3/7/75,4,18,0,8
8031975,3/8/75,4,16,2,9
10031975,3/10/75,4,11,2,1
11031975,3/11/75,4,11,1,4
12031975,3/12/75,4,13,1,5
13031975,3/13/75,4,12,1,7
14031975,3/14/75,4,14,1,7
15031975,3/15/75,4,16,1,16
17031975,3/17/75,4,17,2,1
18031975,3/18/75,4,14,2,5
19031975,3/19/75,4,19,2,11
20031975,3/20/75,4,18,4,14
21031975,3/21/75,4,11,1,4
22031975,3/22/75,4,16,2,17
24031975,3/24/75,4,16,2,18
25031975,3/25/75,4,14,2,3
26031975,3/26/75,4,21,2,9
27031975,3/27/75,4,19,2,10
28031975,3/28/75,4,22,3,6
29031975,3/29/75,4,18,2,12
31031975,3/31/75,4,16,2,8
1041975,4/1/75,4,15,2,1
2041975,4/2/75,4,12,2,5
3041975,4/3/75,4,19,2,5
4041975,4/4/75,4,14,2,3
5041975,4/5/75,4,18,2,8
7041975,4/7/75,4,13,2,9
8041975,4/8/75,4,16,2,9
9041975,4/9/75,4,17,3,17
10041975,4/10/75,4,12,2,4
11041975,4/11/75,4,16,3,11
12041975,4/12/75,4,15,3,13
14041975,4/14/75,4,14,2,2
15041975,4/15/75,4,13,3,12
16041975,4/16/75,4,15,2,18
17041975,4/17/75,4,18,1,22
18041975,4/18/75,4,21,3,17
19041975,4/19/75,4,17,1,13
21041975,4/21/75,4,14,1,5
22041975,4/22/75,4,15,2,7
23041975,4/23/75,4,15,2,13
24041975,4/24/75,4,10,1,0
25041975,4/25/75,4,14,2,8
26041975,4/26/75,4,13,1,3
28041975,4/28/75,4,15,1,14
29041975,4/29/75,4,14,2,7
30041975,4/30/75,4,11,1,6
1051975,5/1/75,4,10,0,6
2051975,5/2/75,4,11,0,3
3051975,5/3/75,4,13,0,4
5051975,5/5/75,4,8,0,2
6051975,5/6/75,4,14,0,13
7051975,5/7/75,4,23,1,25
8051975,5/8/75,4,21,2,13
9051975,5/9/75,4,14,1,10
10051975,5/10/75,4,11,0,9
12051975,5/12/75,4,13,2,1
13051975,5/13/75,4,18,1,10
14051975,5/14/75,4,18,1,11
15051975,5/15/75,4,14,2,5
16051975,5/16/75,4,14,1,27
17051975,5/17/75,4,22,3,32
19051975,5/19/75,4,12,1,9
20051975,5/20/75,4,13,1,21
21051975,5/21/75,4,17,2,25
22051975,5/22/75,4,18,2,16
23051975,5/23/75,4,11,0,6
24051975,5/24/75,4,19,1,24
26051975,5/26/75,4,23,2,55
27051975,5/27/75,4,16,0,1
28051975,5/28/75,4,14,0,14
29051975,5/29/75,4,11,0,5
30051975,5/30/75,4,8,0,3
2061975,6/2/75,4,10,0,7
3061975,6/3/75,4,10,0,7
4061975,6/4/75,4,15,1,13
5061975,6/5/75,4,16,0,6
6061975,6/6/75,4,12,1,11
7061975,6/7/75,4,15,1,10
9061975,6/9/75,4,9,0,2
10061975,6/10/75,4,18,1,19
11061975,6/11/75,4,17,1,13
12061975,6/12/75,4,14,1,4
13061975,6/13/75,4,10,1,14
14061975,6/14/75,4,15,0,15
16061975,6/16/75,4,11,1,15
17061975,6/17/75,4,12,0,4
18061975,6/18/75,4,15,0,11
19061975,6/19/75,4,12,0,7
20061975,6/20/75,4,13,0,13
21061975,6/21/75,4,10,0,3
23061975,6/23/75,4,16,2,5
24061975,6/24/75,4,9,0,6
25061975,6/25/75,4,12,0,8
26061975,6/26/75,4,14,0,5
27061975,6/27/75,4,16,2,11
28061975,6/28/75,4,12,2,3
30061975,6/30/75,4,11,2,2
1071975,7/1/75,4,11,0,3
2071975,7/2/75,4,9,0,9
3071975,7/3/75,4,20,1,14
5071975,7/5/75,4,16,1,9
7071975,7/7/75,4,9,0,6
8071975,7/8/75,4,12,0,4
9071975,7/9/75,4,12,1,17
10071975,7/10/75,4,13,0,17
11071975,7/11/75,4,9,0,3
12071975,7/12/75,4,11,0,8
14071975,7/14/75,4,11,1,13
15071975,7/15/75,4,10,0,15
16071975,7/16/75,4,11,0,12
17071975,7/17/75,4,10,0,8
18071975,7/18/75,4,13,0,8
19071975,7/19/75,4,11,0,10
21071975,7/21/75,4,10,0,5
22071975,7/22/75,4,12,0,8
23071975,7/23/75,4,16,1,10
24071975,7/24/75,4,13,1,4
25071975,7/25/75,4,14,0,25
26071975,7/26/75,4,10,0,7
28071975,7/28/75,4,11,1,5
29071975,7/29/75,4,8,0,5
30071975,7/30/75,4,10,0,15
31071975,7/31/75,4,10,0,14
1081975,8/1/75,4,9,0,6
2081975,8/2/75,4,16,0,19
4081975,8/4/75,4,9,0,10
5081975,8/5/75,4,8,0,4
6081975,8/6/75,4,11,1,9
7081975,8/7/75,4,10,1,2
8081975,8/8/75,4,11,1,7
9081975,8/9/75,4,10,0,5
11081975,8/11/75,4,9,0,6
12081975,8/12/75,4,13,1,18
13081975,8/13/75,4,7,0,3
14081975,8/14/75,4,8,0,3
15081975,8/15/75,4,19,1,17
16081975,8/16/75,4,12,0,6
18081975,8/18/75,4,8,0,2
19081975,8/19/75,4,8,0,6
20081975,8/20/75,4,10,0,3
21081975,8/21/75,4,13,0,10
22081975,8/22/75,4,8,0,3
23081975,8/23/75,4,13,0,10
25081975,8/25/75,4,7,0,4
26081975,8/26/75,4,10,1,5
27081975,8/27/75,4,13,0,13
28081975,8/28/75,4,14,1,11
29081975,8/29/75,4,7,0,4
30081975,8/30/75,4,14,1,10
1091975,9/1/75,4,15,0,5
2091975,9/2/75,4,11,0,0
3091975,9/3/75,4,8,0,1
4091975,9/4/75,4,14,2,7
5091975,9/5/75,4,14,0,5
6091975,9/6/75,4,11,1,3
8091975,9/8/75,4,10,0,4
9091975,9/9/75,4,15,1,5
10091975,9/10/75,4,13,2,15
11091975,9/11/75,4,15,2,8
12091975,9/12/75,4,11,1,6
13091975,9/13/75,4,10,0,8
15091975,9/15/75,4,10,1,7
16091975,9/16/75,4,13,1,13
17091975,9/17/75,4,8,0,8
18091975,9/18/75,4,17,0,9
19091975,9/19/75,4,17,1,14
20091975,9/20/75,4,12,0,10
22091975,9/22/75,4,8,1,1
23091975,9/23/75,4,9,0,3
24091975,9/24/75,4,12,0,6
25091975,9/25/75,4,16,0,6
26091975,9/26/75,4,13,0,13
27091975,9/27/75,4,13,0,10
29091975,9/29/75,4,9,0,3
30091975,9/30/75,4,13,0,9
1101975,10/1/75,4,10,0,16
2101975,10/2/75,4,9,0,4
3101975,10/3/75,4,13,0,7
4101975,10/4/75,4,17,2,9
6101975,10/6/75,4,12,0,11
7101975,10/7/75,4,11,1,8
8101975,10/8/75,4,11,0,12
9101975,10/9/75,4,15,0,18
10101975,10/10/75,4,17,2,9
11101975,10/11/75,4,13,1,18
13101975,10/13/75,4,7,0,1
14101975,10/14/75,4,9,0,3
15101975,10/15/75,4,9,0,3
16101975,10/16/75,4,12,0,10
17101975,10/17/75,4,11,1,4
18101975,10/18/75,4,13,0,19
20101975,10/20/75,4,13,0,6
21101975,10/21/75,4,14,0,13
22101975,10/22/75,4,22,1,14
23101975,10/23/75,4,12,1,10
24101975,10/24/75,4,14,0,8
25101975,10/25/75,4,15,2,2
27101975,10/27/75,4,13,0,22
28101975,10/28/75,4,10,0,5
29101975,10/29/75,4,12,0,4
30101975,10/30/75,4,11,0,17
31101975,10/31/75,4,18,1,11
1111975,11/1/75,4,11,2,11
3111975,11/3/75,4,18,2,12
4111975,11/4/75,4,11,0,9
5111975,11/5/75,4,14,0,9
6111975,11/6/75,4,14,1,8
7111975,11/7/75,4,14,0,9
8111975,11/8/75,4,15,1,10
10111975,11/10/75,4,13,1,4
11111975,11/11/75,4,17,1,2
12111975,11/12/75,4,12,1,7
13111975,11/13/75,4,8,0,6
14111975,11/14/75,4,10,0,5
15111975,11/15/75,4,12,1,7
17111975,11/17/75,4,8,0,3
18111975,11/18/75,4,11,0,7
19111975,11/19/75,4,10,1,4
20111975,11/20/75,4,13,1,5
21111975,11/21/75,4,18,1,12
22111975,11/22/75,4,15,1,11
24111975,11/24/75,4,22,1,9
25111975,11/25/75,4,16,0,15
26111975,11/26/75,4,16,1,13
28111975,11/28/75,4,12,0,9
29111975,11/29/75,4,12,1,6
30111975,11/30/75,4,11,0,4
1121975,12/1/75,4,10,0,4
2121975,12/2/75,4,10,0,4
3121975,12/3/75,4,14,0,12
4121975,12/4/75,4,13,0,10
5121975,12/5/75,4,11,0,6
8121975,12/8/75,4,17,1,5
9121975,12/9/75,4,9,0,3
10121975,12/10/75,4,16,2,8
11121975,12/11/75,4,16,2,6
12121975,12/12/75,4,11,2,0
13121975,12/13/75,4,15,1,12
15121975,12/15/75,4,8,0,8
16121975,12/16/75,4,11,1,6
17121975,12/17/75,4,16,2,8
18121975,12/18/75,4,19,2,6
19121975,12/19/75,4,14,1,10
20121975,12/20/75,4,9,0,3
22121975,12/22/75,4,13,1,5
23121975,12/23/75,4,13,1,6
24121975,12/24/75,4,19,0,11
26121975,12/26/75,4,12,0,12
27121975,12/27/75,4,12,1,11
29121975,12/29/75,4,11,1,4
30121975,12/30/75,4,12,2,6
31121975,12/31/75,4,12,0,11
2011976,1/2/76,4,12,1,8
3011976,1/3/76,4,11,0,6
5011976,1/5/76,4,8,1,2
6011976,1/6/76,4,12,2,6
7011976,1/7/76,4,13,1,8
8011976,1/8/76,4,19,1,11
9011976,1/9/76,4,13,1,8
10011976,1/10/76,4,17,2,7
12011976,1/12/76,4,16,1,7
13011976,1/13/76,4,18,3,10
14011976,1/14/76,4,13,1,13
15011976,1/15/76,4,12,1,11
16011976,1/16/76,4,10,2,9
17011976,1/17/76,4,17,3,11
19011976,1/19/76,4,12,2,6
20011976,1/20/76,4,13,2,9
21011976,1/21/76,4,15,3,15
22011976,1/22/76,4,9,0,5
23011976,1/23/76,4,11,2,13
24011976,1/24/76,4,14,1,12
26011976,1/26/76,4,12,1,5
27011976,1/27/76,4,13,0,7
28011976,1/28/76,4,23,2,7
29011976,1/29/76,4,12,1,10
30011976,1/30/76,4,14,2,6
31011976,1/31/76,4,13,1,9
2021976,2/2/76,4,8,1,2
3021976,2/3/76,4,9,1,4
4021976,2/4/76,4,12,2,13
5021976,2/5/76,4,10,1,4
6021976,2/6/76,4,20,1,7
7021976,2/7/76,4,10,0,7
9021976,2/9/76,4,13,1,6
10021976,2/10/76,4,8,0,6
11021976,2/11/76,4,11,1,13
12021976,2/12/76,4,14,1,4
13021976,2/13/76,4,11,1,6
14021976,2/14/76,4,10,1,2
16021976,2/16/76,4,10,0,2
17021976,2/17/76,4,7,1,1
18021976,2/18/76,4,11,2,3
19021976,2/19/76,4,9,0,4
20021976,2/20/76,4,7,0,5
21021976,2/21/76,4,15,3,11
23021976,2/23/76,4,8,1,3
24021976,2/24/76,4,12,0,7
25021976,2/25/76,4,11,0,4
26021976,2/26/76,4,11,0,7
27021976,2/27/76,4,18,0,9
28021976,2/28/76,4,13,2,12
1031976,3/1/76,4,8,0,6
2031976,3/2/76,4,12,2,4
3031976,3/3/76,4,11,1,4
4031976,3/4/76,4,9,0,5
5031976,3/5/76,4,13,2,4
6031976,3/6/76,4,11,0,7
8031976,3/8/76,4,10,1,0
9031976,3/9/76,4,10,0,4
10031976,3/10/76,4,14,3,9
11031976,3/11/76,4,12,1,9
12031976,3/12/76,4,16,3,11
13031976,3/13/76,4,10,0,2
15031976,3/15/76,4,13,1,6
16031976,3/16/76,4,13,2,5
17031976,3/17/76,4,13,2,11
18031976,3/18/76,4,9,0,6
19031976,3/19/76,4,13,1,11
20031976,3/20/76,4,13,3,4
22031976,3/22/76,4,8,1,2
23031976,3/23/76,4,12,2,6
24031976,3/24/76,4,14,2,4
25031976,3/25/76,4,12,1,7
26031976,3/26/76,4,11,1,8
27031976,3/27/76,4,11,1,6
29031976,3/29/76,4,13,2,7
30031976,3/30/76,4,9,1,4
31031976,3/31/76,4,10,0,5
1041976,4/1/76,4,12,2,3
2041976,4/2/76,4,12,1,11
3041976,4/3/76,4,14,2,10
5041976,4/5/76,4,12,1,6
6041976,4/6/76,4,14,2,5
7041976,4/7/76,4,9,2,4
7041976,4/7/76,4,11,2,5
8041976,4/8/76,4,11,1,4
9041976,4/9/76,4,14,1,14
10041976,4/10/76,4,10,1,10
12041976,4/12/76,4,10,2,4
13041976,4/13/76,4,11,1,6
14041976,4/14/76,4,9,1,9
15041976,4/15/76,4,9,1,7
16041976,4/16/76,4,10,2,5
17041976,4/17/76,4,9,1,3
19041976,4/19/76,4,7,0,4
20041976,4/20/76,4,9,1,7
21041976,4/21/76,4,8,1,5
22041976,4/22/76,4,10,0,5
23041976,4/23/76,4,11,1,7
24041976,4/24/76,4,13,2,7
26041976,4/26/76,4,10,0,5
27041976,4/27/76,4,12,1,7
28041976,4/28/76,4,10,0,2
29041976,4/29/76,4,12,0,12
30041976,4/30/76,4,12,0,9
1051976,5/1/76,4,11,1,6
3051976,5/3/76,4,13,0,4
4051976,5/4/76,4,10,2,6
5051976,5/5/76,4,14,2,8
6051976,5/6/76,4,10,1,12
7051976,5/7/76,4,10,2,11
8051976,5/8/76,4,10,2,5
10051976,5/10/76,4,9,2,0
11051976,5/11/76,4,10,1,5
12051976,5/12/76,4,9,1,7
13051976,5/13/76,4,10,1,17
14051976,5/14/76,4,12,1,7
15051976,5/15/76,4,11,1,3
17051976,5/17/76,4,11,0,3
18051976,5/18/76,4,9,0,7
19051976,5/19/76,4,10,2,2
20051976,5/20/76,4,11,2,8
21051976,5/21/76,4,16,2,15
22051976,5/22/76,4,9,0,6
24051976,5/24/76,4,11,2,2
25051976,5/25/76,4,10,0,10
26051976,5/26/76,4,8,0,7
27051976,5/27/76,4,12,1,8
28051976,5/28/76,4,12,3,8
29051976,5/29/76,4,12,0,11
31051976,5/31/76,4,14,0,7
1061976,6/1/76,4,11,1,9
2061976,6/2/76,4,10,1,5
3061976,6/3/76,4,11,1,3
4061976,6/4/76,4,12,2,6
5061976,6/5/76,4,19,1,10
7061976,6/7/76,4,14,2,3
8061976,6/8/76,4,13,2,7
9061976,6/9/76,4,15,1,11
10061976,6/10/76,4,17,3,9
11061976,6/11/76,4,20,1,15
12061976,6/12/76,4,16,2,8
14061976,6/14/76,4,15,3,12
15061976,6/15/76,4,17,4,5
16061976,6/16/76,4,13,1,8
17061976,6/17/76,4,16,1,12
18061976,6/18/76,4,13,2,5
19061976,6/19/76,4,16,3,6
21061976,6/21/76,4,15,1,7
22061976,6/22/76,4,16,2,9
23061976,6/23/76,4,12,2,10
24061976,6/24/76,4,15,2,10
25061976,6/25/76,4,15,1,11
26061976,6/26/76,4,14,2,12
28061976,6/28/76,4,10,1,5
29061976,6/29/76,4,10,1,8
30061976,6/30/76,4,12,2,1
1071976,7/1/76,4,15,2,11
2071976,7/2/76,4,16,3,8
3071976,7/3/76,4,17,2,14
5071976,7/5/76,4,12,1,8
6071976,7/6/76,4,7,1,1
7071976,7/7/76,4,14,1,12
8071976,7/8/76,4,13,2,10
9071976,7/9/76,4,13,2,7
10071976,7/10/76,4,13,2,11
11071976,7/11/76,4,14,3,12
13071976,7/13/76,4,9,1,7
14071976,7/14/76,4,13,1,10
15071976,7/15/76,4,15,3,14
16071976,7/16/76,4,11,1,10
17071976,7/17/76,4,18,3,18
19071976,7/19/76,4,15,3,5
20071976,7/20/76,4,12,2,16
21071976,7/21/76,4,17,2,10
22071976,7/22/76,4,15,4,16
23071976,7/23/76,4,18,4,13
24071976,7/24/76,4,14,3,9
26071976,7/26/76,4,15,3,12
27071976,7/27/76,4,16,4,8
28071976,7/28/76,4,15,2,11
29071976,7/29/76,4,17,2,8
30071976,7/30/76,4,19,3,17
31071976,7/31/76,4,18,2,17
2081976,8/2/76,4,13,1,6
3081976,8/3/76,4,9,2,1
4081976,8/4/76,4,15,2,13
5081976,8/5/76,4,13,2,10
5081976,8/5/76,4,14,2,9
7081976,8/7/76,4,17,2,21
9081976,8/9/76,4,14,3,7
10081976,8/10/76,4,10,3,3
11081976,8/11/76,4,14,2,12
12081976,8/12/76,4,21,4,15
13081976,8/13/76,4,14,2,6
14081976,8/14/76,4,17,3,20
16081976,8/16/76,4,11,1,8
17081976,8/17/76,4,14,3,11
18081976,8/18/76,4,14,2,18
19081976,8/19/76,4,12,1,15
20081976,8/20/76,4,22,4,10
21081976,8/21/76,4,16,3,16
23081976,8/23/76,4,10,1,1
24081976,8/24/76,4,16,1,14
25081976,8/25/76,4,13,2,10
26081976,8/26/76,4,21,1,17
27081976,8/27/76,4,13,1,17
28081976,8/28/76,4,12,2,7
30081976,8/30/76,4,15,4,4
31081976,8/31/76,4,13,3,7
1091976,9/1/76,4,14,1,12
2091976,9/2/76,4,22,3,11
3091976,9/3/76,4,15,2,10
4091976,9/4/76,4,18,3,9
6091976,9/6/76,4,12,1,3
7091976,9/7/76,4,8,0,3
8091976,9/8/76,4,6,0,1
9091976,9/9/76,4,23,2,11
10091976,9/10/76,4,12,0,1
11091976,9/11/76,4,12,0,5
13091976,9/13/76,4,9,0,4
14091976,9/14/76,4,9,0,2
15091976,9/15/76,4,13,0,12
16091976,9/16/76,4,11,0,6
17091976,9/17/76,4,11,1,6
18091976,9/18/76,4,12,1,6
20091976,9/20/76,4,9,0,0
21091976,9/21/76,4,13,0,7
22091976,9/22/76,4,10,0,3
23091976,9/23/76,4,17,1,14
24091976,9/24/76,4,18,2,9
25091976,9/25/76,4,12,0,8
27091976,9/27/76,4,11,0,6
28091976,9/28/76,4,13,1,7
29091976,9/29/76,4,12,1,5
30091976,9/30/76,4,17,3,8
1101976,10/1/76,4,12,0,15
2101976,10/2/76,4,14,3,8
4101976,10/4/76,4,13,3,8
5101976,10/5/76,4,12,1,6
6101976,10/6/76,4,14,2,13
7101976,10/7/76,4,17,2,14
8101976,10/8/76,4,11,1,8
9101976,10/9/76,4,14,1,7
11101976,10/11/76,4,16,1,9
12101976,10/12/76,4,8,0,6
13101976,10/13/76,4,13,1,3
14101976,10/14/76,4,14,2,3
15101976,10/15/76,4,11,1,4
16101976,10/16/76,4,15,2,8
18101976,10/18/76,4,15,2,9
19101976,10/19/76,4,11,1,4
20101976,10/20/76,4,13,0,13
21101976,10/21/76,4,11,2,5
22101976,10/22/76,4,14,1,10
23101976,10/23/76,4,18,0,9
25101976,10/25/76,4,14,1,7
26101976,10/26/76,4,11,2,4
27101976,10/27/76,4,10,1,3
28101976,10/28/76,4,13,0,9
29101976,10/29/76,4,21,2,21
30101976,10/30/76,4,13,1,7
1111976,11/1/76,4,10,2,2
2111976,11/2/76,4,10,0,5
3111976,11/3/76,4,12,1,9
4111976,11/4/76,4,13,2,11
5111976,11/5/76,4,13,1,11
6111976,11/6/76,4,14,3,13
8111976,11/8/76,4,12,1,6
9111976,11/9/76,4,12,2,7
10111976,11/10/76,4,15,1,7
11111976,11/11/76,4,12,1,6
12111976,11/12/76,4,15,2,11
13111976,11/13/76,4,11,1,3
15111976,11/15/76,4,12,2,3
16111976,11/16/76,4,15,3,10
17111976,11/17/76,4,15,1,9
18111976,11/18/76,4,16,2,14
19111976,11/19/76,4,13,1,9
20111976,11/20/76,4,8,0,7
22111976,11/22/76,4,9,1,1
23111976,11/23/76,4,16,1,4
24111976,11/24/76,4,9,1,4
26111976,11/26/76,4,10,1,4
27111976,11/27/76,4,10,2,4
29111976,11/29/76,4,17,4,8
30111976,11/30/76,4,9,0,6
1121976,12/1/76,4,14,1,6
2121976,12/2/76,4,9,0,6
3121976,12/3/76,4,9,1,5
4121976,12/4/76,4,13,2,9
6121976,12/6/76,4,11,1,2
7121976,12/7/76,4,14,1,6
8121976,12/8/76,4,15,4,14
9121976,12/9/76,4,12,3,2
10121976,12/10/76,4,1,0,3
11121976,12/11/76,4,12,1,5
13121976,12/13/76,4,9,1,3
14121976,12/14/76,4,13,1,10
15121976,12/15/76,4,11,1,3
16121976,12/16/76,4,12,2,7
17121976,12/17/76,4,16,1,11
18121976,12/18/76,4,15,3,6
20121976,12/20/76,4,6,0,1
21121976,12/21/76,4,10,0,4
22121976,12/22/76,4,11,0,3
23121976,12/23/76,4,18,1,7
24121976,12/24/76,4,12,0,8
27121976,12/27/76,4,13,0,2
28121976,12/28/76,4,9,2,2
29121976,12/29/76,4,10,1,3
30121976,12/30/76,4,10,0,3
31121976,12/31/76,4,11,1,2
3011977,1/3/77,4,9,2,9
4011977,1/4/77,4,7,1,3
5011977,1/5/77,4,10,0,1
6011977,1/6/77,4,9,1,6
7011977,1/7/77,4,15,2,7
8011977,1/8/77,4,8,1,2
10011977,1/10/77,4,11,0,0
11011977,1/11/77,4,16,0,7
12011977,1/12/77,4,10,0,12
13011977,1/13/77,4,15,1,16
14011977,1/14/77,4,14,3,13
15011977,1/15/77,4,13,1,9
17011977,1/17/77,4,11,2,3
18011977,1/18/77,4,13,1,8
19011977,1/19/77,4,12,1,4
20011977,1/20/77,4,10,0,4
